"id","repo_fullname","commits_count","commits_days_since_first","commits_days_since_last","commits_total_lines_added","commits_total_lines_removed","commits_avg_added","commits_avg_removed","commits_avg_files_changed","commits_avg_message_length","commits_avg_per_day","commits_avg_per_day_real","commits_max_per_day","contributors_count","contributors_top_avg_commits","contributors_top_avg_participation_week","contributors_top_avg_additions","contributors_top_avg_deletions","forks_count","forks_avg_per_day","forks_avg_max_per_day","issues_total_comments","issues_count","issues_open","issues_labels","issues_avg_labels","issues_avg_closing_time","issues_avg_comment_time","issues_avg_comments","issues_avg_comment_length","issues_avg_title_length","issues_avg_body_length","issues_avg_per_day","issues_avg_per_day_real","issues_max_per_day","repo_size","repo_topics","repo_branches","repo_age_days","repo_workflows","repo_languages","repo_milestones","repo_watchers","repo_deployments","repo_readme_length","repo_network_members","pulls_count","pulls_total_lines_added","pulls_total_lines_removed","pulls_avg_lines_added","pulls_avg_lines_removed","pulls_avg_closing_time","pulls_avg_comments","pulls_avg_review_comments","pulls_avg_Commits","pulls_avg_body_length","pulls_avg_title_length","pulls_avg_files_changed","pulls_avg_labels","pulls_avg_created_per_day","pulls_avg_created_per_day_real","pulls_max_created_per_day","releases_count","releases_tags","releases_total_downloads","releases_avg_body_length","releases_avg_title_length","releases_avg_assets","releases_avg_assets_downloads","releases_avg_assets_size","releases_avg_downloads_per_day","stars_count","stars_avg_per_day_real","stars_max_per_day","wf_count","wf_avg_duration","wf_avg_success_duration","wf_avg_failure_duration","wf_avg_successes_per_day","wf_avg_successes_per_day_real","wf_avg_fails_per_day","created_at","updated_at"
461,"MicrosoftDocs/mslearn-aks-deploy-container-app",27,650,376,1426,47,53,2,3,23,NULL,3,6,2,12,3,26,1,21,0,4,2,3,1,0,0,0,0,0,135,30,47,0,1,1,3071,0,2,650,0,2,0,5,0,5206,21,1,1,1,1,1,0,0,0,1,42,42,1,0,0,1,1,0,0,0,0,0,0,0,0,NULL,5,1,1,0,0,0,0,0,0,0,"2022-03-07 05:34:22.038792","2022-03-07 05:34:22.038792"
463,"Azure-Samples/azure-iot-central-arm-sdk-samples",27,661,112,2743,385,102,14,2,129,NULL,1,5,6,3,1,137,19,10,0,2,4,21,2,6,0,0,0,0,79,38,2236,0,1,4,131,0,12,661,0,6,0,4,0,4330,10,2,127,41,63,20,0,1,2,1,3681,43,1,0,0,1,1,4,4,102,0,33,1,25,29165,NULL,4,1,1,0,0,0,0,0,0,0,"2022-03-07 05:38:19.144517","2022-03-07 05:38:19.144517"
467,"bjornwann/fullstack-2020-resources",95,523,398,2244,421,24,4,2,49,NULL,12,35,0,0,0,0,0,5,0,2,36,30,2,11,0,0,0,1,157,32,125,0,7,14,124,0,2,523,4,1,0,8,0,17188,5,1,7,3,7,3,0,0,0,1,121,23,1,0,0,1,1,0,0,0,0,0,0,0,0,NULL,8,2,4,4,0.01165798611111111,0.010714699074074074,0.0009432870370370371,0,15,0,"2022-03-07 05:46:54.881141","2022-03-07 05:46:54.881141"
473,"MicrosoftDocs/azure-docs.it-it",20348,2912,320,34874691,26435109,1714,1299,46,31,NULL,11,278,51,252,18,1413,1133,32,0,2,767,406,0,704,1,0,0,1,207,23,51,0,2,10,2735214,0,17,1944,0,1,0,13,0,2534,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,13,1,1,0,0,0,0,0,0,0,"2022-03-08 04:32:31.938414","2022-03-08 04:32:31.938414"
475,"Azure-Samples/AI-Video-Intelligence-Solution-Accelerator",64,999,900,245762,10101,3840,158,12,36,NULL,2,7,5,11,3,3561,163,11,0,1,8,26,17,27,1,0,0,0,53,53,7664,0,1,4,7783,0,23,999,0,9,0,20,0,11616,11,17,1148,597,67,35,0,0,0,1,7719,59,1,1,0,1,4,2,2,0,52,11,0,0,0,NULL,20,1,2,0,0,0,0,0,0,0,"2022-03-08 04:33:12.615207","2022-03-08 04:33:12.615207"
514,"MicrosoftDocs/powerapps_script_test-pr.fi-fi",5,1120,111,46334,17224,9267,3445,99,45,NULL,3,4,2,2,1,9266,3444,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,0,2,1120,0,1,0,1,0,373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,1,1,0,0,0,0,0,0,0,"2022-03-08 06:23:18.618528","2022-03-08 06:23:18.618528"
517,"Azure/reverse-proxy-dotnet",55,1654,1064,4517,874,82,16,4,62,NULL,3,12,6,8,2,88,17,25,0,1,37,41,2,45,1,0,0,0,157,40,642,0,1,5,359,3,39,1654,0,4,2,47,41,3563,26,2,24,19,12,9,0,1,0,2,747,48,2,0,0,1,1,2,2,0,236,14,0,0,0,NULL,47,1,2,0,0,0,0,0,0,0,"2022-03-08 06:25:07.571226","2022-03-08 06:25:07.571226"
518,"MicrosoftDocs/mslearn-xamarin-forms-stack-tab-navigation",12,1054,580,171680,127813,14307,10651,93,37,NULL,2,6,0,0,0,0,0,15,0,1,2,3,1,0,0,0,0,0,151,75,141,0,1,1,525,0,1,1054,0,1,0,10,0,2425,15,1,86666,23374,86666,23374,0,1,0,3,424,123,20,0,0,1,1,0,0,0,0,0,0,0,0,NULL,10,1,2,0,0,0,0,0,0,0,"2022-03-08 06:25:29.144077","2022-03-08 06:25:29.144077"
524,"microsoft/VisualProfiler-Unity",25,1327,234,1835,489,73,20,2,52,NULL,3,5,0,0,0,0,0,15,0,1,7,8,1,1,0,0,0,0,212,44,170,0,1,2,310,5,1,1327,0,2,0,75,0,3192,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,75,1,5,0,0,0,0,0,0,0,"2022-03-08 06:49:36.170654","2022-03-08 06:49:36.170654"
527,"NuGet/docs.microsoft.com-nuget.es-es",420,1830,189,111380,77106,265,184,9,27,NULL,1,6,13,31,12,269,186,12,0,2,31,12,2,14,1,0,0,2,700,24,117,0,1,2,8555,0,4,1830,0,1,0,2,0,99,12,1,2,2,2,2,0,1,0,1,57,7,1,0,0,1,1,0,0,0,0,0,0,0,0,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-08 07:47:42.974586","2022-03-08 07:47:42.974586"
